model_id,model_name,context_length,input_usd_per_million_tokens,output_usd_per_million_tokens,raw_price_audio,raw_price_audio_output,raw_price_completion,raw_price_image,raw_price_image_output,raw_price_input_audio_cache,raw_price_input_cache_read,raw_price_input_cache_write,raw_price_input_cache_write_1h,raw_price_internal_reasoning,raw_price_overrides,raw_price_prompt,raw_price_web_search
aion-labs/aion-2.0,AionLabs: Aion-2.0,131072,0.8000000,1.6000000,,,0.0000016,,,,0.0000002,,,,,0.0000008,
aion-labs/aion-3.0,AionLabs: Aion-3.0,131072,3.000000,6.000000,,,0.000006,,,,0.00000075,,,,,0.000003,
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,131072,0.7000000,1.4000000,,,0.0000014,,,,0.00000018,,,,,0.0000007,
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),32768,0.8000000,1.6000000,,,0.0000016,,,,,,,,,0.0000008,
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,1000000,0.3000000,2.5000000,,,0.0000025,,,,,,,,,0.0000003,
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,300000,0.06000000,0.24000000,,,0.00000024,,,,,,,,,0.00000006,
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,128000,0.035000000,0.14000000,,,0.00000014,,,,,,,,,0.000000035,
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,1000000,2.5000000,12.5000000,,,0.0000125,,,,0.000000625,,,,,0.0000025,
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,300000,0.8000000,3.2000000,,,0.0000032,,,,,,,,,0.0000008,
anthracite-org/magnum-v4-72b,Magnum v4 72B,32768,2.5000000,5.000000,,,0.000005,,,,,,,,,0.0000025,
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,200000,0.25000000,1.25000000,,,0.00000125,,,,0.00000003,0.0000003,0.0000005,,,0.00000025,0.01
anthropic/claude-fable-5,Anthropic: Claude Fable 5,1000000,10.00000,50.00000,,,0.00005,,,,0.000001,0.0000125,0.00002,,,0.00001,0.01
anthropic/claude-fable-5.1,Anthropic: Claude Fable 5.1,1000000,10.00000,50.00000,,,0.00005,,,,0.00000025,0.0000125,0.00002,,,0.00001,0.01
anthropic/claude-fable-5.1:batch,Anthropic: Claude Fable 5.1 (batch),1000000,5.000000,25.000000,,,0.000025,,,,0.000000125,0.00000625,0.00001,,,0.000005,0.01
anthropic/claude-fable-5:batch,Anthropic: Claude Fable 5 (batch),1000000,5.000000,25.000000,,,0.000025,,,,0.0000005,0.00000625,0.00001,,,0.000005,0.01
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,200000,1.000000,5.000000,,,0.000005,,,,0.0000001,0.00000125,0.000002,,,0.000001,0.01
anthropic/claude-haiku-4.5:batch,Anthropic: Claude Haiku 4.5 (batch),200000,0.5000000,2.5000000,,,0.0000025,,,,0.00000005,0.000000625,0.000001,,,0.0000005,0.01
anthropic/claude-opus-4,Anthropic: Claude Opus 4,200000,15.000000,75.000000,,,0.000075,,,,0.0000015,0.00001875,0.00003,,,0.000015,0.01
